Case,Test Index Position,Feature,Attribution,Abs Attribution
fraud_case,1040,V14,0.99485487,0.99485487
fraud_case,1040,Hour,0.5761538,0.5761538
fraud_case,1040,V9,-0.39130515,0.39130515
fraud_case,1040,V11,-0.32208967,0.32208967
fraud_case,1040,V10,0.27274036,0.27274036
fraud_case,1040,V19,0.23410311,0.23410311
fraud_case,1040,V17,0.22535105,0.22535105
fraud_case,1040,V7,-0.15594745,0.15594745
fraud_case,1040,V5,-0.10962269,0.10962269
fraud_case,1040,Hour_cos,-0.108997926,0.108997926
fraud_case,1040,scaled_log_Amount,-0.10871799,0.10871799
fraud_case,1040,V3,-0.100337595,0.100337595
fraud_case,1040,V12,0.09883497,0.09883497
fraud_case,1040,V16,0.097626,0.097626
fraud_case,1040,V2,-0.09551433,0.09551433
fraud_case,1040,V8,-0.08330449,0.08330449
fraud_case,1040,V21,0.07641155,0.07641155
fraud_case,1040,V4,0.07036018,0.07036018
fraud_case,1040,V20,-0.06377379,0.06377379
fraud_case,1040,V6,0.059239477,0.059239477
fraud_case,1040,V1,0.0543111,0.0543111
fraud_case,1040,V28,0.036179915,0.036179915
fraud_case,1040,V24,0.032761723,0.032761723
fraud_case,1040,V18,-0.031118086,0.031118086
fraud_case,1040,V23,-0.018232226,0.018232226
fraud_case,1040,scaled_Amount,-0.01758002,0.01758002
fraud_case,1040,V22,0.006822725,0.006822725
fraud_case,1040,V13,0.006788807,0.006788807
fraud_case,1040,V15,0.006367836,0.006367836
fraud_case,1040,Hour_sin,0.0060611176,0.0060611176
fraud_case,1040,scaled_Time,0.0048212125,0.0048212125
fraud_case,1040,V26,-0.0017428595,0.0017428595
fraud_case,1040,V27,-0.0017351821,0.0017351821
fraud_case,1040,V25,-0.00041920214,0.00041920214
normal_case,0,Hour,1.2186594,1.2186594
normal_case,0,V4,0.823802,0.823802
normal_case,0,scaled_Time,0.48421845,0.48421845
normal_case,0,V12,-0.41477218,0.41477218
normal_case,0,Hour_sin,0.24670164,0.24670164
normal_case,0,V1,0.14170659,0.14170659
normal_case,0,V11,0.12242945,0.12242945
normal_case,0,V15,0.11755791,0.11755791
normal_case,0,V14,-0.096320935,0.096320935
normal_case,0,V26,0.07376497,0.07376497
normal_case,0,V18,-0.06841572,0.06841572
normal_case,0,V16,0.060929675,0.060929675
normal_case,0,V6,-0.06086932,0.06086932
normal_case,0,V13,-0.057179924,0.057179924
normal_case,0,V8,-0.033316568,0.033316568
normal_case,0,V25,-0.0309283,0.0309283
normal_case,0,scaled_Amount,0.02742547,0.02742547
normal_case,0,V3,-0.02550253,0.02550253
normal_case,0,scaled_log_Amount,0.022057548,0.022057548
normal_case,0,V17,-0.021790287,0.021790287
normal_case,0,V20,-0.02177401,0.02177401
normal_case,0,V7,0.0141254235,0.0141254235
normal_case,0,V2,-0.010262973,0.010262973
normal_case,0,V22,-0.008476043,0.008476043
normal_case,0,V28,0.0067414525,0.0067414525
normal_case,0,V24,0.0047580237,0.0047580237
normal_case,0,V5,0.0044966596,0.0044966596
normal_case,0,Hour_cos,0.004097782,0.004097782
normal_case,0,V10,0.0035841363,0.0035841363
normal_case,0,V23,0.002814686,0.002814686
normal_case,0,V19,-0.0011627022,0.0011627022
normal_case,0,V21,-0.0008492296,0.0008492296
normal_case,0,V9,-0.00075793936,0.00075793936
normal_case,0,V27,0.00025424582,0.00025424582
