Feature,Base PR-AUC,Shuffled PR-AUC,Importance Drop
V14,0.9233540163886564,0.8109921831737181,0.11236183321493831
V4,0.9233540163886564,0.8746350763064176,0.04871894008223887
V12,0.9233540163886564,0.8970161463298532,0.02633787005880328
V8,0.9233540163886564,0.8992346823232813,0.024119334065375142
V10,0.9233540163886564,0.9044872034388555,0.01886681294980097
V22,0.9233540163886564,0.9104421451612122,0.012911871227444194
scaled_Amount,0.9233540163886564,0.9149107423608506,0.00844327402780587
V16,0.9233540163886564,0.9159957836413372,0.007358232747319282
V3,0.9233540163886564,0.916127189094857,0.0072268272937994205
V2,0.9233540163886564,0.918210997493308,0.005143018895348406
scaled_Time,0.9233540163886564,0.9188151086469983,0.004538907741658105
V11,0.9233540163886564,0.9206525534076379,0.0027014629810185875
V7,0.9233540163886564,0.9206737027831435,0.0026803136055129073
V5,0.9233540163886564,0.9217722185538747,0.0015817978347817396
V25,0.9233540163886564,0.9220052265936436,0.0013487897950128502
V26,0.9233540163886564,0.9222166860589855,0.0011373303296708936
V9,0.9233540163886564,0.9226095641618018,0.0007444522268545972
V17,0.9233540163886564,0.9227194995068013,0.0006345168818551183
V27,0.9233540163886564,0.9228607998207128,0.0004932165679436551
Hour_sin,0.9233540163886564,0.9229352270688393,0.0004187893198170922
V24,0.9233540163886564,0.9229848019261836,0.0003692144624728444
V23,0.9233540163886564,0.9230714411722891,0.0002825752163673201
V1,0.9233540163886564,0.9237085756157936,-0.00035455922713711896
V18,0.9233540163886564,0.9237166752252111,-0.00036265883655461906
V6,0.9233540163886564,0.9239947255151665,-0.0006407091265100417
V15,0.9233540163886564,0.924283252445035,-0.0009292360563785129
V21,0.9233540163886564,0.9244533393945211,-0.001099323005864683
scaled_log_Amount,0.9233540163886564,0.9251870764301414,-0.0018330600414849796
V28,0.9233540163886564,0.9252785419289722,-0.0019245255403157469
V19,0.9233540163886564,0.9253922652417879,-0.002038248853131419
Hour_cos,0.9233540163886564,0.9254203483085541,-0.0020663319198976904
V20,0.9233540163886564,0.9299451287227489,-0.006591112334092486
V13,0.9233540163886564,0.9301314793498239,-0.006777462961167435
Hour,0.9233540163886564,0.9350662655139983,-0.011712249125341856
